212	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Taibaie	yonginen
211	Bacte	Armatimonad	Fimbriimona	Fimbriimonada	Fimbriimonadac	Fimbriimo	Unclassified
211	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Sphingomo	oligoaromativor
211	Bacte	Chlorofl	Ktedonobacte	Ktedonobactera	Ktedonobacterac	Unclassified	Unclassified
211	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Comamonadac	Ramlibac	Unclassified
209	Bacte	Verrucomicrobi	Verrucomicrob	Verrucomicrobia	Rubritaleac	Luteolibac	Unclassified
201	Bacte	Planctomycet	Phycisphae	Tepidisphaera	CPla-3 termite gr	Unclassified	Unclassified
200	Bacte	Bacteroid	Bacteroi	Flavobacteria	Crocinitomicac	Fluviic	Unclassified
197	Bacte	Abditibacteri	Abditibacte	Abditibacteria	Abditibacteriac	Abditibacter	Unclassified
194	Bacte	Acidobacteri	Acidobacter	Acidobacteria	Acidobacteriaceae (Subgroup	Edaphobac	Unclassified
194	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Oxalobacterac	Unclassified	Unclassified
192	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Pseudolab	Unclassified
192	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Rhodanobacterac	Rhodanobac	Unclassified
192	Bacte	Cyanobacte	Sericytochroma	Unclassified	Unclassified	Unclassified	Unclassified
189	Bacte	Myxococc	Myxococ	Myxococca	Anaeromyxobacterac	Anaeromyxobac	Unclassified
187	Bacte	Actinobacteri	Actinobacte	Unclassified	Unclassified	Unclassified	Unclassified
184	Bacte	Acidobacteri	Acidobacter	Bryobactera	Bryobacterac	Bryobac	Unclassified
184	Bacte	Firmicu	Baci	Alicyclobacilla	Alicyclobacillac	Alicyclobacil	fodiniaquati
179	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Singulispha	Unclassified
177	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Hephaes	Unclassified
169	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Sphingobacteriac	Mucilaginibac	ximonen
165	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Paludispha	Unclassified
164	Bacte	Actinobacteri	Actinobacte	Micrococca	Microbacteriac	Chryseoglo	Unclassified
163	Bacte	Proteobacte	Alphaproteobacte	Micropepsa	Micropepsac	Unclassified	Unclassified
160	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Taibaie	smilaci
160	Bacte	Actinobacteri	Actinobacte	Corynebacteria	Mycobacteriac	Mycobacter	Unclassified
159	Bacte	Proteobacte	Alphaproteobacte	Acetobactera	Acetobacterac	Unclassified	Unclassified
144	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Rhodanobacterac	Rhodanobac	Unclassified
142	Bacte	Proteobacte	Alphaproteobacte	Azospirilla	Azospirillac	Azospiril	Unclassified
141	Bacte	Actinobacteri	Actinobacte	Streptomyceta	Streptomycetac	Streptomy	Unclassified
140	Bacte	Bdellovibrion	Bdellovibrio	Bacteriovoraca	Bacteriovoracac	Peredibac	star
139	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Aquispha	Unclassified
138	Bacte	Verrucomicrobi	Verrucomicrob	Verrucomicrobia	Verrucomicrobiac	Prosthecobac	vanneerve
138	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Burkholderiac	Burkholderia-Caballeronia-Paraburkholde	Unclassified
137	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Rhizobiac	Pseudaminobac	Unclassified
137	Bacte	Proteobacte	Alphaproteobacte	Dongia	Dongiac	Don	Unclassified
135	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Parafilimo	rhizosphae
135	Bacte	Gemmatimonad	Gemmatimonade	Gemmatimonada	Gemmatimonadac	Gemmatimo	Unclassified
130	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Hephaes	Unclassified
128	Bacte	Bdellovibrion	Bdellovibrio	Bdellovibriona	Bdellovibrionac	Bdellovib	Unclassified
127	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Devosiac	Devo	Unclassified
127	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Xanthomonadac	Luteimo	Unclassified
125	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Plot4-2	Unclassified
123	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Unclassified	Unclassified
123	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Unclassified	Unclassified
122	Bacte	Proteobacte	Alphaproteobacte	Micavibriona	Micavibrionac	Unclassified	Unclassified
122	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Rhizobiac	Allorhizobium-Neorhizobium-Pararhizobium-Rhizob	Unclassified
121	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Paludispha	Unclassified
121	Bacte	Actinobacteri	Actinobacte	Streptomyceta	Streptomycetac	Streptomy	sulfonofaci
120	Bacte	Proteobacte	Gammaproteobacte	Gammaproteobacteria Incertae Se	Unknown Fam	Acidibac	Unclassified
120	Bacte	Verrucomicrobi	Verrucomicrob	Pedosphaera	Pedosphaerac	Pedospha	Unclassified
119	Bacte	Bacteroid	Bacteroi	Flavobacteria	Flavobacteriac	Flavobacter	Unclassified
119	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Sphingobacteriac	Pedobac	Unclassified
119	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Alcaligenac	Candidimo	Unclassified
117	Bacte	Bacteroid	Kapabacte	Kapabacteria	Unclassified	Unclassified	Unclassified
116	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Pseudolab	Unclassified
116	Bacte	Armatimonad	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
114	Bacte	Actinobacteri	Actinobacte	Corynebacteria	Mycobacteriac	Mycobacter	Unclassified
113	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Unclassified	Unclassified
112	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Novosphingob	Unclassified
111	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Unclassified	Unclassified
111	Bacte	Actinobacteri	Actinobacte	Micromonospora	Micromonosporac	Actinocatenisp	Unclassified
110	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Methylophilac	Unclassified	Unclassified
109	Bacte	Verrucomicrobi	Verrucomicrob	Pedosphaera	Pedosphaerac	Unclassified	Unclassified
106	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Sphingobacteriac	Pedobac	Unclassified
105	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Novosphingob	Unclassified
103	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Rhodanobacterac	Dye	Unclassified
103	Bacte	Actinobacteri	Actinobacte	Micrococca	Microbacteriac	Unclassified	Unclassified
102	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Rhodanobacterac	Rhodanobac	Unclassified
102	Bacte	Proteobacte	Gammaproteobacte	Oceanospirilla	Pseudohongiellac	BIy	Unclassified
100	Bacte	Planctomycet	Planctomyce	Pirellula	Pirellulac	Pirell	Unclassified
100	Bacte	Cyanobacte	Vampirivibrio	Vampirovibriona	Unclassified	Unclassified	Unclassified
99	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Unclassified	Unclassified
99	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Arachidicoc	ginsenosidivor
99	Bacte	Actinobacteri	Actinobacte	Micrococca	Microbacteriac	Unclassified	Unclassified
98	Bacte	Verrucomicrobi	Verrucomicrob	Pedosphaera	Pedosphaerac	Unclassified	Unclassified
98	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Alcaligenac	Unclassified	Unclassified
97	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Paludispha	Unclassified
96	Bacte	Proteobacte	Gammaproteobacte	Diplorickettsia	Diplorickettsiac	Unclassified	Unclassified
96	Bacte	Verrucomicrobi	Verrucomicrob	Pedosphaera	Pedosphaerac	Unclassified	Unclassified
96	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Sphingobacteriac	Mucilaginibac	Unclassified
94	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Afi	Unclassified
91	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Aquispha	Unclassified
90	Bacte	Planctomycet	Phycisphae	Tepidisphaera	WD2101 soil gr	Unclassified	Unclassified
90	Bacte	Patescibacte	Saccharimona	Saccharimonada	Saccharimonadac	T	Unclassified
89	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Unclassified	Unclassified
89	Bacte	Chlorofl	Chlorofle	Thermomicrobia	JG30-KF-C	Unclassified	Unclassified
88	Bacte	Proteobacte	Gammaproteobacte	Unclassified	Unclassified	Unclassified	Unclassified
88	Bacte	Bacteroid	Bacteroi	Cytophaga	Spirosomac	Spiros	aerophi
86	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Rhizobiac	Pseudaminobac	Unclassified
86	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Unclassified	Unclassified	Unclassified
86	Bacte	Chlorofl	Ktedonobacte	Ktedonobactera	Ktedonobacterac	Unclassified	Unclassified
85	Bacte	Verrucomicrobi	Verrucomicrob	Opituta	Opitutac	Unclassified	Unclassified
85	Bacte	Proteobacte	Alphaproteobacte	Micropepsa	Micropepsac	Unclassified	Unclassified
85	Bacte	Proteobacte	Alphaproteobacte	Rickettsia	Mitochond	Unclassified	Unclassified
85	Bacte	Chlorofl	Ktedonobacte	Ktedonobactera	Ktedonobacterac	Unclassified	Unclassified
85	Bacte	Patescibacte	Saccharimona	Saccharimonada	Unclassified	Unclassified	Unclassified
84	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Caulobac	Unclassified
83	Bacte	Gemmatimonad	Gemmatimonade	Gemmatimonada	Gemmatimonadac	Gemmatimo	Unclassified
83	Bacte	Chlorofl	Ktedonobacte	Ktedonobactera	Ktedonobacterac	Unclassified	Unclassified
82	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Oxalobacterac	Noviherbaspiril	Unclassified
81	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Pseudolab	Unclassified
81	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Rhizobiac	Mesorhizob	Unclassified
81	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Methylophilac	Methylobacil	Unclassified
80	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Xanthobacterac	Unclassified	Unclassified
80	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Phenylobacter	Unclassified
77	Bacte	Proteobacte	Gammaproteobacte	Salinisphaera	Solimonadac	Solimo	Unclassified
77	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Phenylobacter	Unclassified
77	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Flavita	Unclassified
76	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Rhizobiac	Allorhizobium-Neorhizobium-Pararhizobium-Rhizob	Unclassified
74	Bacte	Planctomycet	Planctomyce	Isosphaera	Isosphaerac	Singulispha	Unclassified
74	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Oxalobacterac	Noviherbaspiril	Unclassified
73	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Altererythrobac	Unclassified
72	Bacte	Verrucomicrobi	Verrucomicrob	Opituta	Opitutac	Cephaloticoc	Unclassified
72	Bacte	Verrucomicrobi	Verrucomicrob	Pedosphaera	Pedosphaerac	Unclassified	Unclassified
72	Bacte	Proteobacte	Alphaproteobacte	Dongia	Dongiac	Don	Unclassified
72	Bacte	Proteobacte	Alphaproteobacte	Micropepsa	Micropepsac	Unclassified	Unclassified
72	Bacte	Proteobacte	Alphaproteobacte	Rhizobia	Devosiac	Devo	Unclassified
72	Bacte	Bdellovibrion	Bdellovibrio	Bacteriovoraca	Bacteriovoracac	Peredibac	Unclassified
72	Bacte	Bacteroid	Bacteroi	Flavobacteria	Flavobacteriac	Flavobacter	haue
72	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Unclassified	Unclassified
72	Bacte	Patescibacte	Saccharimona	Saccharimonada	L	Unclassified	Unclassified
71	Bacte	Actinobacteri	Actinobacte	Micrococca	Microbacteriac	Unclassified	Unclassified
70	Bacte	Proteobacte	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
70	Bacte	Proteobacte	Gammaproteobacte	Xanthomonada	Rhodanobacterac	Dye	Unclassified
70	Bacte	Actinobacteri	Actinobacte	Streptomyceta	Streptomycetac	Unclassified	Unclassified
69	Bacte	Cyanobacte	Vampirivibrio	Obscuribactera	Obscuribacterac	Unclassified	Unclassified
69	Bacte	Acidobacteri	Acidobacter	Acidobacteria	Acidobacteriaceae (Subgroup	Granulice	Unclassified
68	Bacte	Armatimonad	Fimbriimona	Fimbriimonada	Fimbriimonadac	Unclassified	Unclassified
68	Bacte	Bacteroid	Bacteroi	Sphingobacteria	Sphingobacteriac	Pedobac	Unclassified
68	Bacte	Gemmatimonad	Longimicro	Longimicrobia	Longimicrobiac	Unclassified	Unclassified
67	Bacte	Proteobacte	Alphaproteobacte	Reyranella	Reyranellac	Reyrane	Unclassified
66	Bacte	Actinobacteri	Actinobacte	Micromonospora	Micromonosporac	Actinocatenisp	Unclassified
66	Bacte	Actinobacteri	Thermoleophi	Solirubrobactera	Solirubrobacterac	JCM 18	Unclassified
65	Bacte	Proteobacte	Alphaproteobacte	Sphingomonada	Sphingomonadac	Novosphingob	Unclassified
65	Bacte	Bacteroid	Bacteroi	Chitinophaga	Chitinophagac	Chitinoph	Unclassified
65	Bacte	Actinobacteri	Thermoleophi	Solirubrobactera	67	Unclassified	Unclassified
65	Bacte	Proteobacte	Gammaproteobacte	Burkholderia	Comamonadac	Paucibac	Unclassified
64	Bacte	Proteobacte	Alphaproteobacte	Rhodospirilla	Magnetospirac	Unclassified	Unclassified
63	Bacte	Planctomycet	Phycisphae	Tepidisphaera	WD2101 soil gr	Unclassified	Unclassified
63	Bacte	Proteobacte	Alphaproteobacte	Caulobactera	Caulobacterac	Caulobac	Unclassified
63	Bacte	Firmicu	Baci	Paenibacilla	Paenibacillac	Paenibacil	Unclassified
