,NAME,Experiment,Source,Treatment,Dose,Time,Block,pH,"EC
(us/cm)","TOC
(mg/L)","TN
(mg/L)","Sodium
(ppm)","Lithium
(ppm)","Ammonium
(ppm)","Potassium
(ppm)","Magnesium
(ppm)","Calcium
(ppm)","Flouride
(ppm)","Chloride
(ppm)","Nitrite
(ppm)","Bromide
(ppm)","Nitrate
(ppm)","Sulfate
(ppm)","Phosphate
(ppm)",FlowerDW,BudDW,ShootDW,RootDW,TotalShoot,RootTOShoot
L24,L24,Fertilizer,peat based media,1_25,25,Week_4,4,7.085,199.3,102.7,6.09,,,,,,,1.44,3.36,,,15.25,33.62,8.36,,,2.298,0.5,2.298,0.217580505
L25,L25,Fertilizer,peat based media,2_200,200,Week_8,5,6.657,376.7,60.69,30.97,0.36,17.43,,59.27,10.32,46.23,0.59,8.42,,,137.44,2.74,28.17,1.442,0.705,12.526,2.086,14.673,0.142165883
L26,L26,Fertilizer,peat based media,1_25,25,Week_4,5,6.87,254.2,94.88,11.16,,,,,,,1.23,3.48,,,42.72,37.68,8.28,,,1.903,0.385,1.903,0.202312139
L27,L27,Fertilizer,peat based media,2_100,100,Week_8,5,6.825,289.3,45.92,25.81,0.36,9.86,,49.17,9.87,46.46,0.65,4.54,,,118.28,1.58,15.91,1.283,0.461,12.093,2.064,13.837,0.149165281
L28,L28,Fertilizer,peat based media,1_100,100,Week_4,5,6.416,907.4,82.05,85.43,,,,22.99,,28.28,1.1,3.71,,,399.71,20.07,38.32,,,2.002,0.41,2.002,0.204795205
L29,L29,Fertilizer,peat based media,1_200,200,Week_4,5,6.266,1628,93.71,165.5,,0.1,,58.34,3.39,66.52,1.09,6.76,,,760.22,36.23,57.16,,,1.687,0.418,1.687,0.247777119
L30,L30,Fertilizer,peat based media,2_25,25,Week_8,5,7.255,119,69.38,2.85,0.36,9.55,,13.44,7.26,42.05,0.64,3.76,,0.24,1.36,1.03,1.09,1.957,0.92,8.457,1.73,11.334,0.15263808
L31,L31,Fertilizer,peat based media,2_200,200,Week_8,6,6.468,534.8,45.67,47.07,0.36,17.25,,61.73,13.72,58.71,0.62,7.03,,,219.77,1.51,31.67,1.64,0.951,13.396,2.01,15.987,0.125727153
L32,L32,Fertilizer,peat based media,1_25,25,Week_4,6,7.03,194.9,85.85,6.89,,,,,,,1.33,4.45,,,20.1,27.43,5.64,,,2.491,0.6,2.491,0.240867122
L33,L33,Fertilizer,peat based media,2_25,25,Week_8,6,7.191,173.3,113.9,3.55,0.36,11.38,,18.08,7.69,52.48,0.73,4.01,,,0.57,2.58,0.38,1.516,0.509,11.598,2.681,13.623,0.19679953
L34,L34,Fertilizer,peat based media,1_100,100,Week_4,6,6.469,831.1,67.2,80.3,,,,22.02,,20.79,1.06,3.95,,,351.58,21.52,40.47,,,1.471,0.331,1.471,0.225016995
L35,L35,Fertilizer,peat based media,1_200,200,Week_4,6,6.189,1648,84.86,167.6,,0.24,,63.67,2.03,60.13,1.03,7.88,,,749.87,29.23,63.43,,,1.764,0.386,1.764,0.218820862
L36,L36,Fertilizer,peat based media,2_100,100,Week_8,6,6.664,353.3,46.8,28.02,0.36,9.38,,53.6,10.4,48.5,0.77,3.62,,,130.18,1.31,18.63,1.513,0.709,12.396,1.834,14.618,0.125461759
LP1,LP1,SynCom,SynCom,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP2,LP2,SynCom,SynCom,,,,,,,,,,,,,,,,,,,,,,,,,,,
